127.0.0.1 - - [12/Mar/2014:06:21:02 -0430] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [12/Mar/2014:06:21:04 -0430] "GET /catalogo_productos_consola/jsp/home.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Mar/2014:06:21:04 -0430] "GET /catalogo_productos_consola/jsp/index.jsp?error=expira_sesion HTTP/1.1" 200 5347
127.0.0.1 - - [12/Mar/2014:06:21:04 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Mar/2014:06:21:04 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Mar/2014:06:21:04 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Mar/2014:06:21:04 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Mar/2014:06:21:04 -0430] "GET /catalogo_productos_consola/js/utils/cookies.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Mar/2014:06:21:04 -0430] "GET /catalogo_productos_consola/js/ajax/llenar_cmb_grupo_equipos_ajax.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Mar/2014:06:21:04 -0430] "GET /catalogo_productos_consola/js/plantillas/idioma_pais.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Mar/2014:06:21:04 -0430] "GET /catalogo_productos_consola/js/utils/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Mar/2014:06:21:05 -0430] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [12/Mar/2014:06:21:05 -0430] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [12/Mar/2014:06:21:20 -0430] "GET /catalogo_productos_consola/LlenarCmbGrupoEquipoServlet?t=1394621479&usuario=admin&clave=12345678 HTTP/1.1" 200 54
127.0.0.1 - - [12/Mar/2014:06:21:22 -0430] "POST /catalogo_productos_consola/AutenticarUsuarioServlet HTTP/1.1" 302 -
127.0.0.1 - - [12/Mar/2014:06:21:24 -0430] "GET /catalogo_productos_consola/jsp/home.jsp HTTP/1.1" 200 4652
127.0.0.1 - - [12/Mar/2014:06:21:24 -0430] "GET /catalogo_productos_consola/css/home.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Mar/2014:06:21:55 -0430] "GET /catalogo_productos_consola/jsp/home.jsp HTTP/1.1" 200 4652
127.0.0.1 - - [12/Mar/2014:06:21:55 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Mar/2014:06:21:55 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Mar/2014:06:21:55 -0430] "GET /catalogo_productos_consola/js/utils/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Mar/2014:06:21:55 -0430] "GET /catalogo_productos_consola/js/utils/cookies.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Mar/2014:06:21:55 -0430] "GET /catalogo_productos_consola/js/plantillas/idioma_pais.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Mar/2014:06:21:55 -0430] "GET /catalogo_productos_consola/js/ajax/llenar_cmb_grupo_equipos_ajax.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Mar/2014:06:21:55 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Mar/2014:06:21:55 -0430] "GET /catalogo_productos_consola/css/home.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Mar/2014:06:21:55 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Mar/2014:06:21:59 -0430] "GET /catalogo_productos_consola/jsp/home.jsp HTTP/1.1" 200 4652
127.0.0.1 - - [12/Mar/2014:06:21:59 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Mar/2014:06:21:59 -0430] "GET /catalogo_productos_consola/css/home.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Mar/2014:06:21:59 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Mar/2014:06:21:59 -0430] "GET /catalogo_productos_consola/js/utils/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Mar/2014:06:21:59 -0430] "GET /catalogo_productos_consola/js/utils/cookies.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Mar/2014:06:21:59 -0430] "GET /catalogo_productos_consola/js/plantillas/idioma_pais.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Mar/2014:06:21:59 -0430] "GET /catalogo_productos_consola/js/ajax/llenar_cmb_grupo_equipos_ajax.js HTTP/1.1" 304 -
