127.0.0.1 - - [31/Jul/2014:04:04:33 -0430] "GET /catalogo_productos_consola/jsp/plantillas/reporte_listado_producto.jsp?t=1406795673&catalogo_productos_servidor.productos.nombre_select=*&catalogo_productos_servidor.productos.descripcion_select=*&catalogo_productos_servidor.equipos.nombre_select=*&catalogo_productos_servidor.caracteristicas.nombre_select=*&catalogo_productos_servidor.productos_x_caracteristicas.valor_select=*&catalogo_productos_servidor.precios_productos.nombre_select=*&catalogo_productos_servidor.precios_productos.codigo_moneda_select=*&catalogo_productos_servidor.precios_productos.valor_select=*&ordenar_tabla_reporte=true&tabla_reporte_refrescando=true&id_eliminar=4 HTTP/1.1" 200 23005
127.0.0.1 - - [31/Jul/2014:04:04:33 -0430] "GET /catalogo_productos_consola/jsp/plantillas/reporte_listado_producto.jsp?t=1406795673&catalogo_productos_servidor.productos.nombre_select=*&catalogo_productos_servidor.productos.descripcion_select=*&catalogo_productos_servidor.equipos.nombre_select=*&catalogo_productos_servidor.caracteristicas.nombre_select=*&catalogo_productos_servidor.productos_x_caracteristicas.valor_select=*&catalogo_productos_servidor.precios_productos.nombre_select=*&catalogo_productos_servidor.precios_productos.codigo_moneda_select=*&catalogo_productos_servidor.precios_productos.valor_select=*&ordenar_tabla_reporte=true&tabla_reporte_refrescando=true&id_eliminar=4 HTTP/1.1" 200 23005
127.0.0.1 - - [31/Jul/2014:04:04:34 -0430] "GET /catalogo_productos_consola/jsp/plantillas/reporte_listado_producto.jsp?t=1406795674&catalogo_productos_servidor.productos.nombre_select=*&catalogo_productos_servidor.productos.descripcion_select=*&catalogo_productos_servidor.equipos.nombre_select=*&catalogo_productos_servidor.caracteristicas.nombre_select=*&catalogo_productos_servidor.productos_x_caracteristicas.valor_select=*&catalogo_productos_servidor.precios_productos.nombre_select=*&catalogo_productos_servidor.precios_productos.codigo_moneda_select=*&catalogo_productos_servidor.precios_productos.valor_select=*&ordenar_tabla_reporte=true&tabla_reporte_refrescando=true&id_eliminar=4 HTTP/1.1" 200 23005
127.0.0.1 - - [31/Jul/2014:04:49:44 -0430] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [31/Jul/2014:04:49:59 -0430] "GET /catalogo_productos_consola/jsp/listado_productos.jsp HTTP/1.1" 302 -
127.0.0.1 - - [31/Jul/2014:04:49:59 -0430] "GET /catalogo_productos_consola/jsp/index.jsp?error=expira_sesion HTTP/1.1" 200 3681
127.0.0.1 - - [31/Jul/2014:04:49:59 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [31/Jul/2014:04:49:59 -0430] "GET /catalogo_productos_consola/js/utils/cookies.js HTTP/1.1" 304 -
127.0.0.1 - - [31/Jul/2014:04:49:59 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [31/Jul/2014:04:49:59 -0430] "GET /catalogo_productos_consola/js/utils/utils.js HTTP/1.1" 304 -
