127.0.0.1 - - [30/Apr/2014:07:22:14 -0430] "GET /catalogo_productos_consola/js/utils/contenido_dinamico.js HTTP/1.1" 200 8000
127.0.0.1 - - [30/Apr/2014:07:22:14 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:22:14 -0430] "GET /catalogo_productos_consola/js/ajax/set_idioma_pais_ajax.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:22:14 -0430] "GET /catalogo_productos_consola/js/plantillas/idioma_pais.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:22:45 -0430] "GET /catalogo_productos_consola/jsp/agregar_producto.jsp HTTP/1.1" 200 9210
127.0.0.1 - - [30/Apr/2014:07:22:46 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:22:46 -0430] "GET /catalogo_productos_consola/css/plantillas/cuerpo.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:22:46 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:22:46 -0430] "GET /catalogo_productos_consola/css/plantillas/botonera_principal.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:22:46 -0430] "GET /catalogo_productos_consola/css/utils/utils.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:22:46 -0430] "GET /catalogo_productos_consola/css/plantillas/ubicacion.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:22:46 -0430] "GET /catalogo_productos_consola/css/agregar_producto.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:22:46 -0430] "GET /catalogo_productos_consola/js/utils/contenido_dinamico.js HTTP/1.1" 200 7991
127.0.0.1 - - [30/Apr/2014:07:22:46 -0430] "GET /catalogo_productos_consola/js/ajax/set_idioma_pais_ajax.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:22:46 -0430] "GET /catalogo_productos_consola/js/utils/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:22:46 -0430] "GET /catalogo_productos_consola/js/utils/cookies.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:22:46 -0430] "GET /catalogo_productos_consola/js/plantillas/idioma_pais.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:22:46 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:23:00 -0430] "GET /catalogo_productos_consola/jsp/agregar_producto.jsp HTTP/1.1" 200 9210
127.0.0.1 - - [30/Apr/2014:07:23:01 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:23:01 -0430] "GET /catalogo_productos_consola/css/plantillas/cuerpo.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:23:01 -0430] "GET /catalogo_productos_consola/css/plantillas/ubicacion.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:23:01 -0430] "GET /catalogo_productos_consola/css/plantillas/botonera_principal.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:23:01 -0430] "GET /catalogo_productos_consola/js/utils/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:23:01 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:23:01 -0430] "GET /catalogo_productos_consola/js/utils/cookies.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:23:01 -0430] "GET /catalogo_productos_consola/css/utils/utils.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:23:01 -0430] "GET /catalogo_productos_consola/css/agregar_producto.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:23:01 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:23:01 -0430] "GET /catalogo_productos_consola/js/ajax/set_idioma_pais_ajax.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:23:01 -0430] "GET /catalogo_productos_consola/js/plantillas/idioma_pais.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:23:01 -0430] "GET /catalogo_productos_consola/js/utils/contenido_dinamico.js HTTP/1.1" 200 7974
127.0.0.1 - - [30/Apr/2014:07:25:30 -0430] "GET /catalogo_productos_consola/jsp/agregar_producto.jsp HTTP/1.1" 200 9210
127.0.0.1 - - [30/Apr/2014:07:25:30 -0430] "GET /catalogo_productos_consola/css/plantillas/cuerpo.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:25:30 -0430] "GET /catalogo_productos_consola/css/plantillas/botonera_principal.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:25:30 -0430] "GET /catalogo_productos_consola/css/plantillas/ubicacion.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:25:30 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:25:30 -0430] "GET /catalogo_productos_consola/css/agregar_producto.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:25:30 -0430] "GET /catalogo_productos_consola/js/utils/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [30/Apr/2014:07:25:30 -0430] "GET /catalogo_productos_consola/js/utils/cookies.js HTTP/1.1" 304 -
