127.0.0.1 - - [27/Feb/2014:14:08:36 -0430] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [27/Feb/2014:14:08:42 -0430] "GET /catalogo_productos_consola/jsp/plantillas/encabezado.jsp HTTP/1.1" 200 343
127.0.0.1 - - [27/Feb/2014:14:08:43 -0430] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [27/Feb/2014:14:08:43 -0430] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [27/Feb/2014:14:10:22 -0430] "GET /catalogo_productos_consola/jsp/plantillas/encabezado.jsp HTTP/1.1" 200 583
127.0.0.1 - - [27/Feb/2014:14:10:40 -0430] "GET /catalogo_productos_consola/jsp/plantillas/encabezado.jsp HTTP/1.1" 200 583
127.0.0.1 - - [27/Feb/2014:14:10:42 -0430] "GET /catalogo_productos_consola/jsp/plantillas/encabezado.jsp HTTP/1.1" 200 583
127.0.0.1 - - [27/Feb/2014:14:10:42 -0430] "GET /catalogo_productos_consola/jsp/plantillas/encabezado.jsp HTTP/1.1" 200 583
127.0.0.1 - - [27/Feb/2014:14:10:42 -0430] "GET /catalogo_productos_consola/jsp/plantillas/encabezado.jsp HTTP/1.1" 200 583
127.0.0.1 - - [27/Feb/2014:14:10:42 -0430] "GET /catalogo_productos_consola/jsp/plantillas/encabezado.jsp HTTP/1.1" 200 583
127.0.0.1 - - [27/Feb/2014:14:10:42 -0430] "GET /catalogo_productos_consola/jsp/plantillas/encabezado.jsp HTTP/1.1" 200 583
127.0.0.1 - - [27/Feb/2014:14:10:42 -0430] "GET /catalogo_productos_consola/jsp/plantillas/encabezado.jsp HTTP/1.1" 200 583
127.0.0.1 - - [27/Feb/2014:14:11:07 -0430] "GET /catalogo_productos_consola/jsp/plantillas/encabezado.jsp HTTP/1.1" 200 580
127.0.0.1 - - [27/Feb/2014:14:11:08 -0430] "GET /catalogo_productos_consola/jsp/plantillas/encabezado.jsp HTTP/1.1" 200 580
127.0.0.1 - - [27/Feb/2014:14:11:08 -0430] "GET /catalogo_productos_consola/jsp/plantillas/encabezado.jsp HTTP/1.1" 200 580
127.0.0.1 - - [27/Feb/2014:14:11:16 -0430] "GET /catalogo_productos_consola/jsp/plantillas/encabezado.jsp HTTP/1.1" 200 586
127.0.0.1 - - [27/Feb/2014:14:11:16 -0430] "GET /catalogo_productos_consola/jsp/plantillas/encabezado.jsp HTTP/1.1" 200 586
127.0.0.1 - - [27/Feb/2014:14:11:17 -0430] "GET /catalogo_productos_consola/jsp/plantillas/encabezado.jsp HTTP/1.1" 200 586
127.0.0.1 - - [27/Feb/2014:14:11:17 -0430] "GET /catalogo_productos_consola/jsp/plantillas/encabezado.jsp HTTP/1.1" 200 586
127.0.0.1 - - [27/Feb/2014:14:11:17 -0430] "GET /catalogo_productos_consola/jsp/plantillas/encabezado.jsp HTTP/1.1" 200 586
127.0.0.1 - - [27/Feb/2014:14:11:17 -0430] "GET /catalogo_productos_consola/jsp/plantillas/encabezado.jsp HTTP/1.1" 200 586
127.0.0.1 - - [27/Feb/2014:14:11:49 -0430] "GET /catalogo_productos_consola/jsp/plantillas/encabezado.jsp HTTP/1.1" 200 583
127.0.0.1 - - [27/Feb/2014:14:11:49 -0430] "GET /catalogo_productos_consola/jsp/plantillas/encabezado.jsp HTTP/1.1" 200 583
127.0.0.1 - - [27/Feb/2014:14:11:49 -0430] "GET /catalogo_productos_consola/jsp/plantillas/encabezado.jsp HTTP/1.1" 200 583
127.0.0.1 - - [27/Feb/2014:14:12:53 -0430] "GET /catalogo_productos_consola/jsp/plantillas/encabezado.jsp HTTP/1.1" 200 583
127.0.0.1 - - [27/Feb/2014:14:12:54 -0430] "GET /catalogo_productos_consola/jsp/plantillas/encabezado.jsp HTTP/1.1" 200 583
