127.0.0.1 - - [01/May/2014:08:11:25 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:11:30 -0430] "GET /catalogo_productos_consola/LlenarCmbGrupoEquipoServlet?t=1398948089&usuario=admin&clave=12345678 HTTP/1.1" 200 54
127.0.0.1 - - [01/May/2014:08:11:32 -0430] "POST /catalogo_productos_consola/AutenticarUsuarioServlet HTTP/1.1" 302 -
127.0.0.1 - - [01/May/2014:08:11:32 -0430] "GET /catalogo_productos_consola/jsp/home.jsp HTTP/1.1" 200 5023
127.0.0.1 - - [01/May/2014:08:11:33 -0430] "GET /catalogo_productos_consola/jsp/agregar_producto.jsp HTTP/1.1" 500 2519
127.0.0.1 - - [01/May/2014:08:12:24 -0430] "GET /catalogo_productos_consola/jsp/agregar_producto.jsp HTTP/1.1" 302 -
127.0.0.1 - - [01/May/2014:08:12:24 -0430] "GET /catalogo_productos_consola/jsp/index.jsp?error=expira_sesion HTTP/1.1" 200 5485
127.0.0.1 - - [01/May/2014:08:12:25 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:12:25 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:12:25 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:12:25 -0430] "GET /catalogo_productos_consola/js/plantillas/idioma_pais.js HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:12:25 -0430] "GET /catalogo_productos_consola/js/utils/cookies.js HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:12:25 -0430] "GET /catalogo_productos_consola/js/utils/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:12:25 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:12:25 -0430] "GET /catalogo_productos_consola/js/ajax/llenar_cmb_grupo_equipos_ajax.js HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:12:26 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:12:32 -0430] "GET /catalogo_productos_consola/LlenarCmbGrupoEquipoServlet?t=1398948151&usuario=admin&clave=12345678 HTTP/1.1" 200 54
127.0.0.1 - - [01/May/2014:08:12:34 -0430] "POST /catalogo_productos_consola/AutenticarUsuarioServlet HTTP/1.1" 302 -
127.0.0.1 - - [01/May/2014:08:12:34 -0430] "GET /catalogo_productos_consola/jsp/home.jsp HTTP/1.1" 200 5023
127.0.0.1 - - [01/May/2014:08:12:37 -0430] "GET /catalogo_productos_consola/jsp/agregar_producto.jsp HTTP/1.1" 200 9414
127.0.0.1 - - [01/May/2014:08:12:38 -0430] "GET /catalogo_productos_consola/js/utils/contenido_dinamico.js HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:12:38 -0430] "GET /catalogo_productos_consola/css/agregar_producto.css HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:12:38 -0430] "GET /catalogo_productos_consola/css/utils/utils.css HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:11:58:31 -0430] "GET /catalogo_productos_consola/jsp/agregar_producto.jsp HTTP/1.1" 302 -
127.0.0.1 - - [01/May/2014:11:58:33 -0430] "GET /catalogo_productos_consola/jsp/index.jsp?error=expira_sesion HTTP/1.1" 200 5485
127.0.0.1 - - [01/May/2014:11:58:33 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:11:58:33 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:11:58:33 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:11:58:33 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
