127.0.0.1 - - [18/Mar/2014:20:42:23 -0430] "GET /catalogo_productos_consola/LlenarCmbGrupoEquipoServlet?t=1395191543&usuario=admin&clave=12345678 HTTP/1.1" 200 54
127.0.0.1 - - [18/Mar/2014:20:42:27 -0430] "POST /catalogo_productos_consola/AutenticarUsuarioServlet HTTP/1.1" 302 -
127.0.0.1 - - [18/Mar/2014:20:42:27 -0430] "GET /catalogo_productos_consola/jsp/home.jsp HTTP/1.1" 200 4670
127.0.0.1 - - [18/Mar/2014:20:42:27 -0430] "GET /catalogo_productos_consola/js/ajax/set_idioma_pais_ajax.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:20:49:42 -0430] "GET /catalogo_productos_consola/AutenticarUsuarioServlet HTTP/1.1" 302 -
127.0.0.1 - - [18/Mar/2014:20:49:42 -0430] "GET /catalogo_productos_consola/jsp/index.jsp?exito=sesion_cerrada HTTP/1.1" 200 5347
127.0.0.1 - - [18/Mar/2014:20:53:44 -0430] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [18/Mar/2014:20:58:05 -0430] "GET /catalogo_productos_consola/LlenarCmbGrupoEquipoServlet?t=1395192484&usuario=admin&clave=12345678 HTTP/1.1" 200 54
127.0.0.1 - - [18/Mar/2014:20:58:06 -0430] "POST /catalogo_productos_consola/AutenticarUsuarioServlet HTTP/1.1" 302 -
127.0.0.1 - - [18/Mar/2014:20:58:08 -0430] "GET /catalogo_productos_consola/jsp/home.jsp HTTP/1.1" 200 4669
127.0.0.1 - - [18/Mar/2014:20:58:08 -0430] "GET /catalogo_productos_consola/js/ajax/set_idioma_pais_ajax.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:00:10 -0430] "GET /catalogo_productos_consola/jsp/home.jsp HTTP/1.1" 500 2807
127.0.0.1 - - [18/Mar/2014:21:00:25 -0430] "GET /catalogo_productos_consola/LlenarCmbGrupoEquipoServlet?t=1395192625&usuario=admin&clave=12345678 HTTP/1.1" 200 54
127.0.0.1 - - [18/Mar/2014:21:00:26 -0430] "POST /catalogo_productos_consola/AutenticarUsuarioServlet HTTP/1.1" 302 -
127.0.0.1 - - [18/Mar/2014:21:00:26 -0430] "GET /catalogo_productos_consola/jsp/home.jsp HTTP/1.1" 500 2807
127.0.0.1 - - [18/Mar/2014:21:01:19 -0430] "GET /catalogo_productos_consola/jsp/home.jsp HTTP/1.1" 200 4698
127.0.0.1 - - [18/Mar/2014:21:01:19 -0430] "GET /catalogo_productos_consola/css/home.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:01:19 -0430] "GET /catalogo_productos_consola/js/utils/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:01:19 -0430] "GET /catalogo_productos_consola/js/utils/cookies.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:01:19 -0430] "GET /catalogo_productos_consola/js/ajax/set_idioma_pais_ajax.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:01:19 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:01:19 -0430] "GET /catalogo_productos_consola/css/plantillas/botonera_principal.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:01:19 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:01:19 -0430] "GET /catalogo_productos_consola/js/plantillas/idioma_pais.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:01:19 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:01:19 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:04:28 -0430] "GET /catalogo_productos_consola/jsp/home.jsp HTTP/1.1" 200 4698
127.0.0.1 - - [18/Mar/2014:21:04:28 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:04:28 -0430] "GET /catalogo_productos_consola/css/home.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:04:28 -0430] "GET /catalogo_productos_consola/css/plantillas/botonera_principal.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:04:28 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:04:28 -0430] "GET /catalogo_productos_consola/js/utils/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:04:28 -0430] "GET /catalogo_productos_consola/js/utils/cookies.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Mar/2014:21:04:28 -0430] "GET /catalogo_productos_consola/js/plantillas/idioma_pais.js HTTP/1.1" 304 -
