127.0.0.1 - - [28/Feb/2014:02:47:55 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1078
127.0.0.1 - - [28/Feb/2014:02:47:55 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:47:55 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:47:56 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1078
127.0.0.1 - - [28/Feb/2014:02:47:56 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:47:56 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:47:56 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1078
127.0.0.1 - - [28/Feb/2014:02:47:56 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:47:56 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:49:55 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1106
127.0.0.1 - - [28/Feb/2014:02:49:55 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:49:55 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 91
127.0.0.1 - - [28/Feb/2014:02:50:29 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1100
127.0.0.1 - - [28/Feb/2014:02:50:29 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 72
127.0.0.1 - - [28/Feb/2014:02:50:29 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:03:26 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 987
127.0.0.1 - - [28/Feb/2014:03:03:26 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:03:26 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:08:24 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1014
127.0.0.1 - - [28/Feb/2014:03:08:24 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:08:24 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 71
127.0.0.1 - - [28/Feb/2014:03:08:25 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1014
127.0.0.1 - - [28/Feb/2014:03:08:25 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:08:25 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:09:06 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1014
127.0.0.1 - - [28/Feb/2014:03:09:06 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:09:06 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 84
127.0.0.1 - - [28/Feb/2014:03:09:48 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1014
127.0.0.1 - - [28/Feb/2014:03:09:48 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:09:48 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 84
127.0.0.1 - - [28/Feb/2014:03:09:57 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1014
127.0.0.1 - - [28/Feb/2014:03:09:57 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:09:57 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 84
127.0.0.1 - - [28/Feb/2014:03:10:05 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1014
127.0.0.1 - - [28/Feb/2014:03:10:05 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:10:05 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 84
