127.0.0.1 - - [09/Mar/2014:00:50:27 -0430] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [09/Mar/2014:00:50:40 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 5232
127.0.0.1 - - [09/Mar/2014:00:50:40 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 5232
127.0.0.1 - - [09/Mar/2014:00:50:40 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:00:50:40 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:00:50:40 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:00:50:40 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:00:50:40 -0430] "GET /catalogo_productos_consola/js/plantillas/idioma_pais.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:00:50:40 -0430] "GET /catalogo_productos_consola/js/utils/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:00:50:40 -0430] "GET /catalogo_productos_consola/js/utils/cookies.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:00:50:40 -0430] "GET /catalogo_productos_consola/js/ajax/llenar_cmb_grupo_equipos_ajax.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:00:50:40 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:00:50:51 -0430] "GET /catalogo_productos_consola/LlenarCmbGrupoEquipoServlet?t=1394342450&usuario=admin&clave=12345678 HTTP/1.1" 200 54
127.0.0.1 - - [09/Mar/2014:00:50:58 -0430] "POST /catalogo_productos_consola/AutenticarUsuarioServlet HTTP/1.1" 500 1821
127.0.0.1 - - [09/Mar/2014:01:11:27 -0430] "POST /catalogo_productos_consola/AutenticarUsuarioServlet HTTP/1.1" 500 1461
127.0.0.1 - - [09/Mar/2014:01:11:35 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 5290
127.0.0.1 - - [09/Mar/2014:01:11:35 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:01:11:35 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:01:11:35 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:01:11:36 -0430] "GET /catalogo_productos_consola/js/utils/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:01:11:36 -0430] "GET /catalogo_productos_consola/js/utils/cookies.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:01:11:36 -0430] "GET /catalogo_productos_consola/js/plantillas/idioma_pais.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:01:11:36 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:01:11:36 -0430] "GET /catalogo_productos_consola/js/ajax/llenar_cmb_grupo_equipos_ajax.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:01:11:36 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:01:11:36 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 5290
127.0.0.1 - - [09/Mar/2014:01:11:36 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:01:11:36 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:01:11:36 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:01:11:36 -0430] "GET /catalogo_productos_consola/js/utils/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:01:11:36 -0430] "GET /catalogo_productos_consola/js/plantillas/idioma_pais.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:01:11:36 -0430] "GET /catalogo_productos_consola/js/utils/cookies.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:01:11:36 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:01:11:36 -0430] "GET /catalogo_productos_consola/js/ajax/llenar_cmb_grupo_equipos_ajax.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:01:11:36 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:01:11:41 -0430] "GET /catalogo_productos_consola/LlenarCmbGrupoEquipoServlet?t=1394343701&usuario=admin&clave=12345678 HTTP/1.1" 200 54
127.0.0.1 - - [09/Mar/2014:01:11:43 -0430] "POST /catalogo_productos_consola/AutenticarUsuarioServlet HTTP/1.1" 200 -
127.0.0.1 - - [09/Mar/2014:01:13:17 -0430] "POST /catalogo_productos_consola/AutenticarUsuarioServlet HTTP/1.1" 200 -
127.0.0.1 - - [09/Mar/2014:01:13:28 -0430] "POST /catalogo_productos_consola/AutenticarUsuarioServlet HTTP/1.1" 200 -
127.0.0.1 - - [09/Mar/2014:01:13:49 -0430] "POST /catalogo_productos_consola/AutenticarUsuarioServlet HTTP/1.1" 200 -
127.0.0.1 - - [09/Mar/2014:01:13:56 -0430] "POST /catalogo_productos_consola/AutenticarUsuarioServlet HTTP/1.1" 200 -
127.0.0.1 - - [09/Mar/2014:01:14:40 -0430] "POST /catalogo_productos_consola/AutenticarUsuarioServlet HTTP/1.1" 200 -
127.0.0.1 - - [09/Mar/2014:01:15:26 -0430] "POST /catalogo_productos_consola/AutenticarUsuarioServlet HTTP/1.1" 200 -
127.0.0.1 - - [09/Mar/2014:01:16:11 -0430] "POST /catalogo_productos_consola/AutenticarUsuarioServlet HTTP/1.1" 200 -
127.0.0.1 - - [09/Mar/2014:01:16:27 -0430] "POST /catalogo_productos_consola/AutenticarUsuarioServlet HTTP/1.1" 200 -
127.0.0.1 - - [09/Mar/2014:01:17:35 -0430] "POST /catalogo_productos_consola/AutenticarUsuarioServlet HTTP/1.1" 200 -
127.0.0.1 - - [09/Mar/2014:01:18:02 -0430] "POST /catalogo_productos_consola/AutenticarUsuarioServlet HTTP/1.1" 200 6
127.0.0.1 - - [09/Mar/2014:01:32:53 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 5299
127.0.0.1 - - [09/Mar/2014:01:32:54 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:01:32:54 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Mar/2014:01:32:54 -0430] "GET /catalogo_productos_consola/js/utils/cookies.js HTTP/1.1" 304 -
