127.0.0.1 - - [06/Mar/2014:05:04:57 -0430] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [06/Mar/2014:05:05:00 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 500 2842
127.0.0.1 - - [06/Mar/2014:05:05:01 -0430] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [06/Mar/2014:05:05:01 -0430] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [06/Mar/2014:05:28:21 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 500 2406
127.0.0.1 - - [06/Mar/2014:05:37:15 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 500 2406
127.0.0.1 - - [06/Mar/2014:05:37:17 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 500 2406
127.0.0.1 - - [06/Mar/2014:05:39:18 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 3377
127.0.0.1 - - [06/Mar/2014:05:39:19 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:39:19 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:39:19 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:39:19 -0430] "GET /catalogo_productos_consola/js/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:39:50 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 3377
127.0.0.1 - - [06/Mar/2014:05:39:50 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:39:50 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:39:50 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:39:50 -0430] "GET /catalogo_productos_consola/js/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:43:38 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 3377
127.0.0.1 - - [06/Mar/2014:05:43:38 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:43:38 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:43:38 -0430] "GET /catalogo_productos_consola/js/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:43:38 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:43:52 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 3602
127.0.0.1 - - [06/Mar/2014:05:43:52 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:43:52 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:43:52 -0430] "GET /catalogo_productos_consola/js/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:43:52 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:44:54 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 3602
127.0.0.1 - - [06/Mar/2014:05:44:54 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:44:54 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:44:54 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:44:54 -0430] "GET /catalogo_productos_consola/js/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:44:56 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 3602
127.0.0.1 - - [06/Mar/2014:05:44:56 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:44:56 -0430] "GET /catalogo_productos_consola/js/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:44:56 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:44:56 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:44:59 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 3602
127.0.0.1 - - [06/Mar/2014:05:44:59 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:44:59 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:44:59 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:44:59 -0430] "GET /catalogo_productos_consola/js/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:45:08 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 3651
127.0.0.1 - - [06/Mar/2014:05:45:08 -0430] "GET /catalogo_productos_consola/js/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:45:08 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:45:08 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:45:08 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:45:40 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 3647
127.0.0.1 - - [06/Mar/2014:05:45:40 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:45:40 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:45:40 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:45:40 -0430] "GET /catalogo_productos_consola/js/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:52:45 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 3647
127.0.0.1 - - [06/Mar/2014:05:52:45 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:52:45 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:52:45 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:52:45 -0430] "GET /catalogo_productos_consola/js/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:53:03 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 3647
127.0.0.1 - - [06/Mar/2014:05:53:03 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:53:03 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:53:03 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:53:03 -0430] "GET /catalogo_productos_consola/js/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:54:29 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 3637
127.0.0.1 - - [06/Mar/2014:05:54:29 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:54:29 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:54:29 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:54:29 -0430] "GET /catalogo_productos_consola/js/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:55:58 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 3637
127.0.0.1 - - [06/Mar/2014:05:55:58 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:55:58 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:55:58 -0430] "GET /catalogo_productos_consola/js/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:55:58 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:55:59 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 3637
127.0.0.1 - - [06/Mar/2014:05:55:59 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:55:59 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:55:59 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:55:59 -0430] "GET /catalogo_productos_consola/js/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:56:03 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 3637
127.0.0.1 - - [06/Mar/2014:05:56:03 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:56:03 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:56:03 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:05:56:03 -0430] "GET /catalogo_productos_consola/js/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:06:03:13 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 500 2768
127.0.0.1 - - [06/Mar/2014:06:04:31 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 500 3145
127.0.0.1 - - [06/Mar/2014:06:04:47 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 500 3145
127.0.0.1 - - [06/Mar/2014:06:05:59 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 500 2870
127.0.0.1 - - [06/Mar/2014:06:06:22 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 500 2870
127.0.0.1 - - [06/Mar/2014:06:06:28 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 500 2870
127.0.0.1 - - [06/Mar/2014:06:09:05 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 500 3147
127.0.0.1 - - [06/Mar/2014:06:09:51 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 3685
127.0.0.1 - - [06/Mar/2014:06:09:51 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:06:09:51 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:06:09:51 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:06:09:51 -0430] "GET /catalogo_productos_consola/js/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:06:11:01 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 3732
127.0.0.1 - - [06/Mar/2014:06:11:01 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:06:11:01 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:06:11:01 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:06:11:01 -0430] "GET /catalogo_productos_consola/js/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:06:12:53 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 3732
127.0.0.1 - - [06/Mar/2014:06:12:53 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:06:12:53 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:06:12:53 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:06:12:53 -0430] "GET /catalogo_productos_consola/js/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:06:12:56 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 3732
127.0.0.1 - - [06/Mar/2014:06:12:56 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:06:12:56 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2014:06:12:56 -0430] "GET /catalogo_productos_consola/js/utils.js HTTP/1.1" 304 -
